คำที่เขียนถูก	มักเขียนผิดเป็น	หมายเหตุ
กอล์ฟ	กลอฟ, กอลฟ์, ก็อลฟ์, ก็อล์ฟ, ก๊อลฟ์, ก๊อล์ฟ	
กะทันหัน	กระทันหัน	
กะเทย	กระเทย	
กะเทาะ	กระเทาะ	
กะบังลม	กระบังลม	
กะปิ	กระปิ	
กะพง	กระพง	
กะพริบ	กระพริบ	
กะพรุน	กระพรุน	
กะเพรา	กะเพา, กระเพา, กระเพรา	ระวังสับสนกับ กระเพาะ
กะล่อน	กระล่อน	
กะละมัง	กาละมัง	
กะลาสี	กลาสี	
กะละแม	กาละแม, กาลาแม, กาละแมร์	
กะหรี่	กระหรี่	
กะเหรี่ยง	กระเหรี่ยง	
กะหล่ำ	กระหล่ำ	
กะโหลก	กระโหลก	จำไว้ว่า กะโหลก กะลา
กังวาน	กังวาล	
กันทรลักษ์	กันทรลักษณ์, กัณลักษณ์	
กันแสง	กรรแสง, กรรณแสง	ทรงกันแสง, ทรงพระกันแสง = ร้องไห้; กรรแสง แผลงมาจาก กระแสง = ส่งเสียงร้อง, ผ้าสไบ
กาลเทศะ	กาละเทศะ	
กาลเวลา	กาฬเวลา	กาล หมายถึง เวลา , กาฬ แปลว่า รอยดำ หรือ แดง
กาฬสินธุ์	กาฬสินธ์, กาลสินธุ์	
กำเหน็จ	กำเน็จ, กำเหน็ด	
กิจจะลักษณะ	กิจลักษณะ, กิจจลักษณะ	
กิตติมศักดิ์	กิติมศักดิ์, เกียรติมศักดิ์	
กินรี	กินนรี	แต่ "กิน-นอน" เขียน 'กินนร'
กิริยา	กริยา	"กิริยา" คือ อาการ การกระทำ เช่น ปฏิกิริยา
กุฎี, กุฏิ	กุฎ, กุฎิ	"กุฏิ" อ่านว่า "กุด" หรือ "กุด-ติ", ถ้าต้องการอ่าน "กุ-ดี" ต้องเขียน "กุฎี" (ใช้คำไหนก็ได้)
กู	กรู	คำสรรพนามบุรุษที่หนึ่ง
เกม	เกมส์	ในภาษาไทยสำหรับกรณีทั่วไปจะไม่มีการเปลี่ยนรูปแบบคำใด ๆ ทั้งสิ้น ไม่ว่าสื่อความหมายถึงเอกพจน์หรือพหูพจน์
เว้นแต่เป็นการทับศัพท์วิสามานยนาม เช่น "SEA Games" ว่า ซีเกมส์
เกล็ดเลือด	เกร็ดเลือด	
เกษียณ	เกษียน, เกษียร	เกษียณ = สิ้นไป เช่นเกษียณอายุ; เกษียน = เขียน; เกษียร = น้ำนม
เกสร	เกษร	ส่วนในของดอกไม้
เกาต์	เก๊าท์	
เกียรติ	เกียตร, เกียรต, เกียรต์, เกียรติ์	อ่านว่า "เกียด", ถ้าเขียน "เกียรติ์" อ่านว่า "เกียน" เช่น รามเกียรติ์
แก๊ง	แก๊งค์, แก๊งก์	"แก๊ง" มาจากภาษาอังกฤษว่า "gang" ในภาษาไทยเป็นภาษาปาก หมายความว่า "กลุ่มคนที่ตั้งเป็นก๊กเป็นเหล่า (มักใช้ในความหมายไม่ดี) เช่น แก๊งโจร แก๊งอันธพาล"
แกร็น	แกน, แกรน	ไม่เจริญเติบโตตามปรกติ (ใช้แก่คน สัตว์ และพืช), เช่น แคระแกร็น
ขบถ	ขบฏ	ดู กบฏ
ขโมย	โขมย	
ขริบ	ขลิบ, ขริป, ขลิป	ขริบ = ตัดเล็ม
ขลิบ = เย็บหุ้มริมผ้าและของอื่น ๆ เพื่อกันลุ่ยหรือเพื่อให้งามเป็นต้น
ขลิบ	ขริบ, ขริป, ขลิป	
ขวาน	ขวาญ	
ขะมักเขม้น	ขมักเขม้น	
ขัณฑสกร	ขัณทสกร, ขันทสกร, ขันฑสกร	
ขาดดุล	ขาดดุลย์	ดู "ดุล", "สมดุล"
ข้าวเหนียวมูน	ข้าวเหนียวมูล	มูน = เอากะทิเคล้ากับข้าวเหนียวเพื่อให้มัน
ขี้เกียจ	ขี้เกลียด, ขี้เกียด	
ขึ้นฉ่าย	คึ่นช่าย, คึ่นไฉ่, คึ่นไช่, ขื้นช่าย, ขึ้นไฉ่, ขึ้นไช่, คื่นช่าย, คื่นไฉ่, คื่นไช่
เขยก	ขเยก, ขะเหยก	
ไข่มุก	ไข่มุกข์, ไข่มุกด์, ไข่มุข	
คณบดี	คณะบดี	
คทา	คฑา, คธา	
คน	ฅน	ฅ ไม่เคยใช้เขียนคำว่า ฅน
ครรไล	ครรลัย	
ครองแครง	คลองแคลง	
ครองราชย์	ครองราช	คำว่า "ราชย์" หมายถึง ความเป็นราชา, "ครองราชย์" จึงหมายถึง ครองความเป็นราชา
ทั้งนี้ คำว่า "ครองราชสมบัติ" หมายความว่า ครองสมบัติของพระราชา ก็คือ ครองความเป็นราชา (มิใช่ "ครองราชยสมบัติ" อันแปลว่า ครองสมบัติแห่งความเป็นพระราชา)
ครอบคลุม	คลอบคลุม, ครอบครุม, ครอบคุม	
คริสตกาล	คริสต์กาล	ใช้ตามโบราณ
คริสตจักร	คริสต์จักร	ใช้ตามโบราณ
คริสต์ทศวรรษ	คริสตทศวรรษ	ไม่นิยมสมาสข้ามภาษา
คริสต์ศตวรรษ	คริสตศตวรรษ	ไม่นิยมสมาสข้ามภาษา
คริสต์ศักราช	คริสตศักราช	
คริสต์ศาสนา	คริสตศาสนา	ไม่นิยมสมาสข้ามภาษา
คริสต์ศาสนิกชน	คริสตศาสนิกชน	
คริสต์มาส	คริสตมาส	
ครุฑ	ครุท, ครุธ	
ครุภัณฑ์	คุรุภัณฑ์	
ครุศาสตร์	คุรุศาสตร์	
คฤหาสน์	คฤหาสถ์	คฤห + อาสน
คลิก	คลิ้ก, คลิ๊ก	
คลินิก	คลีนิก, คลินิค	
ค้อน	ฆ้อน	
คะ	ค๊ะ	
คะนอง	คนอง	
คัดสรร	คัดสรรค์	
คาร์ป	คาร์ฟ, คราฟ, คาร์พ, คราพ	ชื่อปลา ทับศัพท์มาจาก carp
คารวะ	เคารวะ, คาราวะ, คราวะ	
คำนวณ	คำนวน	
คำสดุดี	คำดุษฎี	
คุกกี้	คุ้กกี้, คุ๊กกี้	ออกเสียง คุก โดยไม่ต้องใส่วรรณยุกต์
คุรุศึกษา	ครุศึกษา	
เค้ก	เค็ก, เค๊ก	
เครียด	เคลียด	
เครื่องราง	เครื่องลาง	
แค็ตตาล็อก	แคตตาล็อก, แคตาล็อก	
แคบหมู	แค็บหมู, แคปหมู, แค็ปหมู	
แคระแกร็น	แคะแกน, แคะแกรน, แคระแกน, แคระแกรน, แคระเกร็น	แกร็น = ไม่เจริญเติบโตตามปรกติ (ใช้แก่คน สัตว์ และพืช)
แครง	แคลง	แครง เป็นชื่อหอยทะเลและชื่อเห็ดชนิดหนึ่ง; แคลง แปลว่า กินแหนง, สงสัย
โค่ง	โข่ง	โข่ง = เปิ่น ไม่เข้าท่า / โค่ง = โตกว่าเพื่อน
โคตร	โครต, โคต, โคด	
โครงการ	โครงการณ์, โคลงการ	การ คือ งาน
โควตา	โควต้า	ออกเสียง คว ควบกล้ำ และออกเสียง ต้า โดยไม่ต้องใส่วรรณยุกต์
คอลัมน์	คอลัมม์, คอลัมภ์	
ฆราวาส	ฆรวาส, ฆารวาส, ฆราวาท	
ฆาตกร	ฆาตรกร	ฆาต แปลว่า ฆ่า, ทำลาย หรือ ตี
ฆาตกรรม	ฆาตรกรรม	ฆาต แปลว่า ฆ่า, ทำลาย หรือ ตี
เฆี่ยน	เคี่ยน	- "เฆี่ยน" = ตีด้วยหวายหรือไม้เรียวเป็นต้นเป็นการลงโทษ เป็นต้น - "เคี่ยน" ไม่มีความหมาย
งบดุล	งบดุลย์	ไม่ใช่ ดุลย์
งูสวัด	งูสวัส, งูสวัสดิ์	
จงกรม	จงกลม	การฝึกสมาธิ
จระเข้	จรเข้	เครื่องดนตรีไทย เรียก จะเข้; ชื่อสถานที่บางแห่งยังสะกดว่า จรเข้ อยู่เช่น คลองจรเข้บัว ตำบลจรเข้สามพัน ตำบลจรเข้ร้อง
จลนศาสตร์	จลศาสตร์	
จลาจล	จราจล	มาจากคำ จล + อจล
จะงอย	จงอย	
จะจะ	จะๆ	คำมูลสองพยางค์
จะละเม็ด	จาละเม็ด, จาระเม็ด, จรเม็ด, จระเม็ด	
จักจั่น	จั๊กจั่น	
จักร	จักร์	
จักรพรรดิ	จักรพรรดิ์	อ่านว่า "จัก-กฺระ-พัด"
จักรวรรดิ	จักรวรรดิ์	อ่านว่า "จัก-กฺระ-หวัด"
จักสาน	จักรสาน	เครื่องใช้ที่ทำด้วยมือ
จัตุรัส	จตุรัส	
จาระไน	จารไน	
จาระบี	จารบี	
จำนง	จำนงค์	แผลงจาก "จง"
จินตนาการ	จินตะนาการ, จินตรนาการ	
จุฬาลงกรณ์มหาวิทยาลัย	จุฬาลงกรณมหาวิทยาลัย	ปัจจุบันใช้แบบมีทัณฑฆาตตามที่ได้รับพระราชทาน (ขัดหลักคำสมาส)
เจ๊ง	เจ็ง, เจ้ง, เจ๋ง	เจ๊ง (ไม้ตรี) = ล้มเลิกกิจการ หมดสภาพ ใช้การไม่ได้
เจ๋ง	เจ๊ง	เจ๋ง (ไม้จัตวา) = ดีเลิศ ยอดเยี่ยม
เจตจำนง	เจตจำนงค์	จำนง แผลงจาก จง
เจตนารมณ์	เจตนารมย์	
เจียระไน	เจียรไน	
โจทก์	โจทย์	โจทก์ หมายถึง ผู้ฟ้องร้องในศาลกล่าวหาจำเลย โจทย์ หมายถึง ปัญหา เช่น โจทย์เลข
ใจ	จัย	
ฉบับ	ฉะบับ	
ฉะนั้น	ฉนั้น	
ฉะนี้	ฉนี้	
ฉัน	ฉันท์	เสมือน เช่น ฉันญาติ ฉันมิตร; รับประทาน ใช้แก่พระสงฆ์
เฉพาะ	ฉะเพาะ, ฉเพาะ	
ไฉน	ฉไน	
พระชนมพรรษา	พระชนม์พรรษา	อ่านว่า ชน-มะ-พัน-สา
พระชนมายุ	พระชนม์มายุ	มาจาก ชนฺม(นฺ) + อายุ
ชมพู	ชมภู	
ชมพู่	ชมภู่	
ชลมารค	ชลมาค, ชลมาคร, ชลมาร์ค	หมายถึง ทางนํ้า เช่น กระบวนเสด็จพระราชดำเนินโดยทางชลมารค
ช็อกโกเลต, ช็อกโกแลต	ช๊อกโกแลต, ช็อกโกแล็ต, ชอคโกแลต, ช๊อคโกแลต, ช็อคโกแลต	ตามพจนานุกรม ฉบับราชบัณฑิตยสถาน พ.ศ. 2554
ชอุ่ม	ชะอุ่ม	
ชะนี	ชนี	
ชะมด	ชมด	
ชะลอ	ชลอ	
ชัชวาล	ชัชวาลย์	
ชานชาลา	ชานชะลา	"ชาลา" แปลว่า ชาน "ชานชาลา" เป็นคำซ้อน (ทำนองเดียวกับ กักขัง, ใหญ่โต ฯลฯ)
ชีพิตักษัย, ชีพตักษัย		ตามพจนานุกรม ฉบับราชบัณฑิตยสถาน พ.ศ. 2554
ชีวประวัติ	ชีวะประวัติ	สมาสแล้วลบวิสรรชนีย์
ไชเท้า, ไช้เท้า	ใชเท้า	พจนานุกรม ฉบับราชบัณฑิตยสถาน พ.ศ. 2554 ให้สะกดได้ทั้ง ไชเท้า และ ไช้เท้า
ไชโป๊, ไช้โป๊	ไชโป๊ว, ไช้โป๊ว, ไชโป้ว	ผักกาดหัวที่ดองเค็มหรือหวาน แล้วนำไปตากแห้ง; ระบบเสียงภาษาไทยไม่มีเสียงสระโอว
ซวดเซ	ทรวดเซ	
ซ่องเสพ	ส้องเสพ	
ซาบซ่าน	ทราบซ่าน, ซาบส้าน	
ซาบซึ้ง	ทราบซึ้ง	
ซาลาเปา	ซาละเปา, ซะละเปา	
ซาวเสียง	ซาวด์เสียง, ซาวน์เสียง, ซาวนด์เสียง	แปลว่า หยั่งเสียงเพื่อฟังความคิดเห็น และไม่ได้มาจากคำภาษาอังกฤษว่า "sound"
ซีเมนต์	ซีเม็นต์, ซีเมนท์, ซีเม็นท์, ซีเม็น	
ซีรีส์	ซีรีย์, ซีรี่ย์	
ซุ่ม	สุ่ม, สุ้ม	ซุ่ม = ซ่อน, แอบซ่อนคอยทีอยู่ / สุ่ม = เครื่องมือจับปลา, เครื่องสานครอบขังไก่, ไม่เฉพาะเจาะจง
ซุ้ม	สุ้ม	สิ่งที่เป็นพุ่มมีทางลอดได้, ส่วนบนของประตูหน้าต่าง
เซ็นชื่อ	เซ็นต์ชื่อ	จากคำอังกฤษ sign, ไม่มี ต การันต์
เซนติเมตร	เซ็นติเมตร	
แซ่บ	แซบ	ตามพจนานุกรม ฉบับราชบัณฑิตยสถาน พ.ศ. 2554; ใส่รูปวรรณยุกต์เอกเพื่อบ่งว่าเป็นเสียงวรรณยุกต์โทและออกเสียงสั้น (อย่างคำว่า แน่บ)
แซ็ว	แซว	ตามพจนานุกรม ฉบับราชบัณฑิตยสถาน พ.ศ. 2554; ใส่ไม้ไต่คู้เพราะออกเสียงสั้น
ไซ้	ไซร้	ไซ้ = กิริยาที่นกหรือเป็ดเอาปากย้ำ ๆ ขนหรือหาอาหาร ฯลฯ, เช่น เป็ดไซ้ขน ไซร้ = คำสำหรับเน้นความหมายของคำหน้า, เช่น ลูกหนี้ยังไม่ชำระหนี้ไซร้ ลูกหนี้ได้ชื่อว่าผิดนัด
โซม	โทรม	โซม = เปียกทั่ว, เช่น เหงื่อโซมตัว โทรม = เสื่อมสภาพ, ระดมฟันแทง, ร่วมกันข่มขืนกระทำชำเราหญิง ฯลฯ
ฌาน	ฌาณ	
ฌาปนกิจ	ฌาปณกิจ	
เฌอ	กระเฌอ, กะเฌอ
ญวน	ญวณ	
ญัตติ	ญัติ	
ญาณ	ญาน	
ญาติ	ญาต
ฎีกา	ฏีกา	ใช้ ฎ ชฎา ตัวอักษรที่คล้ายกันทำให้เกิดความสับสน
ฐาน	ฐาณ
ณ	ณ.
ดอกจัน	ดอกจันท์, ดอกจันทน์, ดอกจันทร์	เครื่องหมาย *, ดอกของต้นจัน
ดอกไม้จันทน์	ดอกไม้จัน, ดอกไม้จันท์, ดอกไม้จันทร์	ดอกไม้ประดิษฐ์สำหรับงานเผาศพ
ดัตช์	ดัชต์, ดัชท์, ดัทช์	
ดาดตะกั่ว	ดาษตะกั่ว	
ดาดฟ้า	ดาษฟ้า	
ดาวน์	ดาว์น, ดาว	คำทับศัพท์ down ตัวสะกดหลักคือ ว
ดาษดื่น	ดาดดื่น	
ดำรง	ดำรงค์	
ดำริ	ดำหริ, ดำริห์	อ่านว่า "ดำ-หริ", โบราณเขียน "ดำริห์"
ดุล	ดุลย์	"ดุล" เป็นคำนามแปลว่า ความเท่ากัน หรือความเสมอกัน, ส่วน "ดุลย์" เป็นคำวิเศษณ์แปลว่า เท่ากัน หรือเสมอกัน
ดุษณี	โดยดุษฎี	ดุษณี หมายถึง นิ่ง
เดินเหิน	เดินเหิร	โบราณเขียน "เหิร"
เดือดร้อน	เดือนร้อน	
แดก	แดรก, แด่ก, แดร่ก, แด๊ก	เป็นภาษาปาก หมายถึง กิน หรือ พูดกระทบให้โกรธ ฯลฯ
ไดรฟ์	ไดร์ฟ	คำทับศัพท์ drive ดร ควบกล้ำ
ต่าง ๆ	ต่างๆ, ต่างต่าง	
ตรรกศาสตร์	ตรรกะศาสตร์	
ตรรกะ, ตรรก-	ตรรกกะ	
ตระเวน	ตระเวณ	
ตราสัง	ตราสังข์	
ตรึงตรา	ตรึงตา	หมายถึง ติดแน่น
ตะกร้า	ตระกร้า	
ตะราง	ตาราง	ที่คุมขัง
ตานขโมย	ตาลขโมย	
ตาราง	ตะราง	ช่องสี่เหลี่ยม
ตำรับ	ตำหรับ	
ติดสัด	ติดสัตว์	
โต๊ะ	โต้ะ	
ใต้	ไต้	ใช้แสดงตำแหน่ง เช่น ใต้โต๊ะ ภาคใต้ แสงใต้ (ออโรรา)
ใต้เท้า	ไต้เท้า	เปรียบเหมือนเราอยู่ข้างใต้ เท้าของผู้มีอำนาจบารมี ทำนองเดียวกับ ใต้ฝ่าพระบาท ฯลฯ
ไต้	ใต้	หมายถึงคบเพลิง เช่น ขี้ไต้ จุดไต้ตำตอ น้ำตาแสงไต้ หรือใช้ทับศัพท์ภาษาอื่น
ไต้ก๋ง	ใต้ก๋ง	นายท้ายเรือสำเภาหรือเรือประมง ทับศัพท์จากภาษาจีน
ไต้ฝุ่น	ใต้ฝุ่น	ทับศัพท์มาจาก typhoon
ไตรยางศ์	ไตรยางค์	
ไต้หวัน	ใต้หวัน	ทับศัพท์จากภาษาจีน
ถนนลาดยาง	ถนนราดยาง	ลาด หมายถึง ปู
ถ่วงดุล	ถ่วงดุลย์	
ถั่วพู	ถั่วพลู	ถั่วที่ด้านข้างมีรอยเป็นพู
เถา	เถาว์	
ไถ่ตัว	ถ่ายตัว	เรียกค่าไถ่ ก็ใช้คำนี้
ทโมน	ทะโมน, โทมน	
ทยอย	ทะยอย	
ทแยง	ทะแยง, แทยง	
ทรงกลด	ทรงกรด	
ทรมาทรกรรม	ทรมานทรกรรม	
ทรราช	ทรราชย์	- ทรราช = ผู้ปกครองบ้านเมืองที่ใช้อำนาจสร้างความเดือดร้อน, ตามรากศัพท์หมายถึง ราชาชั่ว แต่สามารถใช้ได้กับทั้งที่เป็นราชาและไม่เป็นราชา
- ทรราชย์ = รูปแบบ ระบบ หรือลัทธิการปกครองแบบทรราช
ทระนง, ทะนง	ทรนง, ทนง	
ทลาย	ทะลาย	พังทลาย ถล่มทลาย
ทศกัณฐ์	ทศกัณฑ์	กัณฑ์ แปลว่า คำเทศน์ตอนหนึ่ง; กัณฐ์ แปลว่า คอ
ทอนซิล	ทอมซิน	
ทะนุถนอม	ทนุถนอม	
ทะนุบำรุง, ทำนุบำรุง	ทนุบำรุง	
ทะลาย	ทลาย	ช่อผลของมะพร้าว
ทะเลสาบ	ทะเลสาป	
ทัณฑ์	ฑัณฑ์	
ทายาด	ทายาท	ทายาด = ยิ่งยวด เช่น ทนทายาด 
ทายาท = ผู้สืบสกุล
ทายาท	ทายาด, ทาญาติ
ทารุณ	ทารุน	
ทีฆายุโก	ฑีฆายุโก	ทีฆายุ หมายถึง อายุยืนยาว
ทุกรกิริยา	ทุกขกิริยา, ทุกขรกิริยา	หมายถึง กิจที่ทำได้ยาก
ทุคติ	ทุกข์คติ	
ทุพพลภาพ	ทุพลภาพ	
ทุพภิกขภัย	ทุภิกขภัย	ทุส + ภิกขภัย, เปลี่ยน ส เป็น พ ตามหลักการสมาส
ทุศีล	ทุจศีล	
ทูต	ฑูต	ทูตทุกอย่าง ใช้ ท ทหาร
ทูนหัว	ทูลหัว	พ่อทูนหัว แม่ทูนหัว
ทูลกระหม่อม	ทูนกระหม่อม	
เท่	เท่ห์	
เทพนม	เทพพนม	เทว + นม ไม่ใช่ เทพ + พนม
เทเวศ, เทเวศร์, เทเวศวร์	เทเวศน์	เทว + อิศร, ตามพจนานุกรม ฉบับราชบัณฑิตยสถาน พ.ศ. 2554
เทโวโรหณะ	เทโวโรหนะ	ใช้ ณ เณร มาจาก เทว + โอโรหณ
เทอญ	เทิญ	
เทอม	เทิม, เทิร์ม	
เท้าความ	ท้าวความ	เขียนเหมือน "เท้า"
เทิด	เทอด	ยกเว้นเมื่อเป็นส่วนหนึ่งของวิสามานยนาม เช่น ถนนเทอดไท ทางแยกเทอดดำริ
เทิดทูน	เทิดทูล	
แท็กซี่	แท๊กซี่	
แทรกแซง	แซกแซง	
โทรทรรศน์	โทรทัศน์	กล้องส่องทางไกล
โทรทัศน์	โทรทรรศน์	เครื่องใช้ไฟฟ้าชนิดหนึ่ง
โทรม	โซม	โทรม = เสื่อมสภาพ, ระดมฟันแทง, ร่วมกันข่มขืนกระทำชำเราหญิง ฯลฯ 
โซม = เปียกทั่ว, เช่น เหงื่อโซมตัว
โทรศัพท์	โทรศัพย์
ธนบัตร	ธนาบัตร	
ธนาณัติ	ธนานัติ, ธนาณัต	
ธรรมเนียม	ทำเนียม	ในหนังสือเก่า ๆ เขียน "ทำเนียม" ก็มี, แต่ปัจจุบัน ใช้ "ธรรมเนียม" (มาจาก ธรรม + นิยม)
ธัญพืช	ธัญญพืช	
ธำมรงค์	ธำมรง, ทำมะรงค์	แปลว่า "แหวน"
ธำรง	ธำรงค์	
ธุรกิจ	ธุระกิจ	คำสมาส หรือใช้ กิจธุระ
นพปฎล	นพปดล	แปลว่า เก้าชั้น
นภดล	นพดล	เว้นแต่ "นพดล" ที่เป็นชื่อเฉพาะ
นวัตกรรม	นวตกรรม	
นอต	น็อต, น๊อต	ทับศัพท์จาก nut ในภาษาอังกฤษที่หมายถึงอุปกรณ์ช่าง
นะ	น๊ะ	ออกเสียงวรรณยุกต์ตรี โดยไม่ปรากฏรูป
นะคะ	นะค่ะ, นะค๊ะ	คะ เป็นเสียงตรี ไม่ต้องใช้ไม้ตรี ในขณะที่ ค่ะ เป็นเสียงโท
นันทนาการ	สันทนาการ	
นัย	นัยยะ	อ่านได้ทั้ง ไน และ ไน-ยะ
นัยน์ตา	นัยตา	
น่า	หน้า	คำประกอบหน้ากริยา หมายความว่า ควร เช่น น่าจะทำอย่างนั้น น่าจะเป็นอย่างนี้; ชวนให้, ทำให้อยากจะ, เช่น น่ากิน น่ารัก
นาฏกรรม	นาฎกรรม	ใช้ ฏ ปฏัก
นาที	นาฑี	นาฑี เป็นภาษาสันสกฤต พบบ้างในหนังสือเก่า ปัจจุบันพจนานุกรมให้สะกดแบบเดียวเท่านั้น
นานัปการ	นานับประการ	
นานา	นา ๆ	ไม่ใช่คำซ้ำ แต่เป็นคำมูลสองพยางค์ที่รับมาจากภาษาบาลี แปลว่า "ต่าง ๆ"
น้ำจัณฑ์	น้ำจัน, น้ำจัณท์, น้ำจันท์	
น้ำมันก๊าด	น้ำมันก๊าซ, น้ำมันก๊าส	
น้ำแข็งไส	น้ำแข็งใส	หมายถึงการนำน้ำแข็งไปไสบนกบ จนได้เกล็ดน้ำแข็ง เป็นวิธีทำแบบดั้งเดิม
นิจศีล	นิจสิน	
นิตยสาร	นิตยาสาร	
นิเทศ	นิเทศน์, นิเทส	
นิมิต	นิมิตร, นิรมิตร	
นิวัต	นิวัติ	
นิเวศวิทยา	นิเวศน์วิทยา	
เนรมิต	เนรมิตร	
เนืองนิตย์	เนืองนิจ	
แน่นหนา	หนาแน่น	- "แน่นหนา" ว่า มั่นคง เช่น ใส่กุญแจแน่นหนา มีหลักฐานมัดตัวแน่นหนา, แข็งแรง เช่น ประตูหน้าต่างแน่นหนา, บางทีก็ใช้เข้าคู่กับ ปึกแผ่น เป็น เป็นปึกแผ่นแน่นหนา. - "หนาแน่น" ว่า คับคั่ง, แออัด, เช่น กรุงเทพฯ มีประชากรหนาแน่นมาก.
โน้ต	โน๊ต, โน้ท, โน๊ท	อักษรต่ำ ไม่ใส่ไม้ตรี
บรรทัด	บันทัด	
บรรทุก	บันทุก	
บรรลุ	บันลุ	
บรรเลง	บันเลง	
บรั่นดี	บะหรั่นดี	
บริสุทธิ์	บริสุทธ, บริสุทธิ	
บล็อก	บล็อค, บล๊อก	หลักการทับศัพท์
บ่วงบาศ	บ่วงบาศก์, บ่วงบาต, บ่วงบาท	
บอระเพ็ด	บรเพ็ด, บอระเพชร	
บังสุกุล	บังสกุล	
บังเอิญ	บังเอิน	
บัญญัติไตรยางศ์	บัญญัติไตรยางค์	เหมือน ไตรยางศ์
บัตรสนเท่ห์	บัตรสนเท่	
บันดาล	บรรดาล	
บันได	บรรได	
บันเทิง	บรรเทิง	
บันลือ	บรรลือ	
บางลำพู	บางลำภู	
บาดทะยัก	บาททะยัก, บาดทยัก	
บาตร	บาต	เครื่องใช้อย่างหนึ่งของพระสงฆ์
บาทบงสุ์	บาทบงส์	อ่านว่า บาด-ทะ-บง
บาทหลวง	บาดหลวง	
บำเหน็จ	บำเน็จ	
บิณฑบาต	บิณฑบาตร, บิณฑบาท	"บาต" ไม่ได้มาจากคำที่แปลว่า บาตร แต่รับมาจากคำภาษาบาลีว่า ปาต [ปา-ตะ] แปลว่า ตก, การตก
เช่น ปิณฺฑปาต = การตกของก้อนข้าว (บิณฑบาต), อุกฺกาปาต แปลว่า การตกของคบเพลิง (อุกกาบาต), อสนิปาต = การตกของสายฟ้า (อสุนีบาต)
บิดพลิ้ว	บิดพริ้ว	
บุคคล	บุคล	
บุคลากร	บุคคลากร	
บุคลิก	บุคคลิก, บุคลิค, บุคคลิค	มาจากคำภาษาบาลีว่า ปุคฺคลิก [ปุก-คะ-ลิ-กะ] เมื่อรับมาใช้ในภาษาไทย สะกดด้วย ค ตัวเดียว แต่อ่านว่า บุก-คะ-ลิก
บุคลิกภาพ	บุคคลิกภาพ, บุคลิคภาพ, บุคคลิคภาพ	
บุปผชาติ	บุปผาชาติ	
บุษราคัม	บุษราคำ, บุศราคัม	
บูชายัญ	บูชายัน, บูชายันต์	
บูรณปฏิสังขรณ์	บูรณะปฏิสังขรณ์	คำสมาส ไม่ต้องประวิสรรชนีย์ระหว่างคำ แต่ยังคงออกเสียง อะ
เบญจเพส	เบญจเพศ	เพส มาจากคำว่า วีสะ แปลว่า 20; เบญจ แปลว่า 5 ดังนั้น เบญจเพส = 25
เบนซิน	เบ็นซิน, เบนซิล	
เบรก	เบรค	ศัพท์บัญญัติ หรือใช้คำว่า ห้ามล้อ
